! VERSION = 6.00 
BEGIN_HEADER 
ICCAP_INPUTS 
vs         V  S GROUND DEFAULT 0 CON        0 
vd         V  D GROUND DEFAULT 0 CON        0.05 
vb         V  B GROUND DEFAULT 0 CON        0 
vg         V  G GROUND V 0 LIN        1    0          0.86       100  0.00868687 
ICCAP_OUTPUTS 
id         I  D GROUND DEFAULT B 
END_HEADER 

BEGIN_DB 
     ICCAP_VAR vs         0               
     ICCAP_VAR vd         0.05 
     ICCAP_VAR vb         0 

 #vg              id     
0.0000 1.322e-11
0.0086 1.844e-11
0.0172 2.570e-11
0.0258 3.582e-11
0.0344 4.994e-11
0.0430 6.960e-11
0.0516 9.701e-11
0.0602 1.352e-10
0.0688 1.884e-10
0.0774 2.625e-10
0.0860 3.655e-10
0.0946 5.090e-10
0.1032 7.083e-10
0.1118 9.849e-10
0.1204 1.368e-09
0.1290 1.898e-09
0.1376 2.629e-09
0.1462 3.632e-09
0.1548 5.002e-09
0.1634 6.859e-09
0.1720 9.355e-09
0.1806 1.268e-08
0.1892 1.704e-08
0.1978 2.271e-08
0.2064 2.997e-08
0.2150 3.916e-08
0.2236 5.061e-08
0.2322 6.471e-08
0.2408 8.187e-08
0.2494 1.025e-07
0.2580 1.271e-07
0.2666 1.561e-07
0.2752 1.900e-07
0.2838 2.292e-07
0.2924 2.742e-07
0.3010 3.256e-07
0.3096 3.836e-07
0.3182 4.488e-07
0.3268 5.216e-07
0.3354 6.023e-07
0.3440 6.912e-07
0.3526 7.886e-07
0.3612 8.948e-07
0.3698 1.010e-06
0.3784 1.134e-06
0.3870 1.268e-06
0.3956 1.412e-06
0.4042 1.565e-06
0.4128 1.727e-06
0.4214 1.900e-06
0.4300 2.082e-06
0.4386 2.274e-06
0.4472 2.476e-06
0.4558 2.687e-06
0.4644 2.909e-06
0.4730 3.140e-06
0.4816 3.381e-06
0.4902 3.631e-06
0.4988 3.891e-06
0.5074 4.161e-06
0.5160 4.439e-06
0.5246 4.728e-06
0.5332 5.025e-06
0.5418 5.332e-06
0.5504 5.647e-06
0.5590 5.972e-06
0.5676 6.306e-06
0.5762 6.648e-06
0.5848 6.999e-06
0.5934 7.358e-06
0.6020 7.725e-06
0.6106 8.101e-06
0.6192 8.485e-06
0.6278 8.877e-06
0.6364 9.277e-06
0.6450 9.685e-06
0.6536 1.010e-05
0.6622 1.052e-05
0.6708 1.095e-05
0.6794 1.139e-05
0.6880 1.184e-05
0.6966 1.229e-05
0.7052 1.275e-05
0.7138 1.322e-05
0.7224 1.369e-05
0.7310 1.417e-05
0.7396 1.466e-05
0.7482 1.516e-05
0.7568 1.566e-05
0.7654 1.616e-05
0.7740 1.668e-05
0.7826 1.720e-05
0.7912 1.772e-05
0.7998 1.826e-05
0.8084 1.880e-05
0.8170 1.934e-05
0.8256 1.989e-05
0.8342 2.045e-05
0.8428 2.101e-05
0.8514 2.158e-05
END_DB 
